model,drug_row,side_effect_col,label,matched_positive_col,prevalence_bin,score,topk
CAFNet,0,21,1,21,2,3.064866781234741,1
CAFNet,0,984,0,21,2,0.8454976081848145,0
CAFNet,0,392,0,21,2,0.08519868552684784,0
CAFNet,0,912,0,21,2,1.7513195276260376,0
CAFNet,0,114,0,21,2,0.7549609541893005,0
CAFNet,0,146,0,21,2,1.0355379581451416,0
CAFNet,0,32,1,32,0,0.5596696138381958,0
CAFNet,0,881,0,32,0,1.6730700731277466,0
CAFNet,0,522,0,32,0,0.8798383474349976,0
CAFNet,0,381,0,32,0,0.34477049112319946,0
CAFNet,0,974,0,32,0,0.1865997612476349,0
CAFNet,0,754,0,32,0,0.5935812592506409,0
CAFNet,0,80,1,80,4,3.7008755207061768,1
CAFNet,0,258,0,80,4,3.3004937171936035,1
CAFNet,0,683,0,80,4,1.9976274967193604,0
CAFNet,0,180,0,80,4,1.5466806888580322,0
CAFNet,0,92,0,80,4,1.644579529762268,0
CAFNet,0,445,0,80,4,1.3907830715179443,0
CAFNet,0,132,1,132,2,1.3028981685638428,0
CAFNet,0,869,0,132,2,0.1701769232749939,0
CAFNet,0,984,0,132,2,0.8454976081848145,0
CAFNet,0,114,0,132,2,0.7549609541893005,0
CAFNet,0,460,0,132,2,0.4545307457447052,0
CAFNet,0,204,0,132,2,-0.13681262731552124,0
CAFNet,0,207,1,207,4,3.0779333114624023,1
CAFNet,0,683,0,207,4,1.9976274967193604,0
CAFNet,0,696,0,207,4,3.283623218536377,1
CAFNet,0,445,0,207,4,1.3907830715179443,0
CAFNet,0,2,0,207,4,1.5231969356536865,0
CAFNet,0,861,0,207,4,3.487797498703003,1
CAFNet,0,247,1,247,0,2.8608293533325195,0
CAFNet,0,986,0,247,0,1.421829342842102,0
CAFNet,0,318,0,247,0,-0.19767367839813232,0
CAFNet,0,701,0,247,0,1.6763827800750732,0
CAFNet,0,228,0,247,0,1.7818470001220703,0
CAFNet,0,477,0,247,0,-0.2657953202724457,0
CAFNet,0,332,1,332,4,3.702213764190674,1
CAFNet,0,243,0,332,4,3.0672528743743896,1
CAFNet,0,445,0,332,4,1.3907830715179443,0
CAFNet,0,35,0,332,4,-0.1575976312160492,0
CAFNet,0,2,0,332,4,1.5231969356536865,0
CAFNet,0,273,0,332,4,-0.005470767617225647,0
CAFNet,0,401,1,401,4,3.467421531677246,1
CAFNet,0,92,0,401,4,1.644579529762268,0
CAFNet,0,607,0,401,4,0.9364345073699951,0
CAFNet,0,74,0,401,4,1.2476208209991455,0
CAFNet,0,269,0,401,4,3.25844669342041,1
CAFNet,0,696,0,401,4,3.283623218536377,1
CAFNet,0,468,1,468,4,2.239534854888916,0
CAFNet,0,683,0,468,4,1.9976274967193604,0
CAFNet,0,74,0,468,4,1.2476208209991455,0
CAFNet,0,243,0,468,4,3.0672528743743896,1
CAFNet,0,607,0,468,4,0.9364345073699951,0
CAFNet,0,35,0,468,4,-0.1575976312160492,0
CAFNet,0,505,1,505,4,1.6408054828643799,0
CAFNet,0,273,0,505,4,-0.005470767617225647,0
CAFNet,0,445,0,505,4,1.3907830715179443,0
CAFNet,0,225,0,505,4,1.7232732772827148,0
CAFNet,0,252,0,505,4,3.359279155731201,1
CAFNet,0,683,0,505,4,1.9976274967193604,0
CAFNet,0,621,1,621,4,3.136321544647217,1
CAFNet,0,252,0,621,4,3.359279155731201,1
CAFNet,0,225,0,621,4,1.7232732772827148,0
CAFNet,0,861,0,621,4,3.487797498703003,1
CAFNet,0,74,0,621,4,1.2476208209991455,0
CAFNet,0,2,0,621,4,1.5231969356536865,0
CAFNet,0,655,1,655,3,1.3798562288284302,0
CAFNet,0,808,0,655,3,0.767082154750824,0
